National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
BSA97,Administration (Superseded by BSB01),,Training package,Superseded,03/09/2001,Superseded,23/09/1997,02/09/2001,BSB01,False,,,1.0,23/09/1997,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSB01,Business Services Training Package (Superseded by BSB07),,Training package,Superseded,01/12/2007,Superseded,03/09/2001,30/11/2007,BSB07,False,BSA97,False,1.0,17/08/2001,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSB07,Business Services Training Package,,Training package,Superseded,25/03/2015,Superseded,01/12/2007,,BSB,False,BSB01,False,9.0,28/08/2013,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSZ98,Assessment and Workplace Training (Superseded by TAA04),,Training package,Superseded,01/11/2004,Superseded,22/10/1998,31/10/2004,TAA04,False,,,1.0,22/10/1998,,,False,Department of Employment and Workplace Relations (Interim),,,,,,,,,,,,,,,,,,,,False,,False
CHC02,Community Services Training Package (Superseded by CHC08),,Training package,Superseded,01/12/2008,Superseded,01/12/2002,30/11/2008,CHC08,False,CHC99,False,1.0,09/09/2007,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CHC08,Community Services Training Package,,Training package,Superseded,08/12/2015,Superseded,01/12/2008,,CHC,False,CHC02,False,4.2,04/10/2013,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CHC99,Community Services (Superseded by CHC02),,Training package,Superseded,01/12/2002,Superseded,15/01/1999,30/11/2002,CHC02,False,,,1.0,15/01/1999,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CSC01,Correctional Services Training Package (Superseded by CSC07),,Training package,Superseded,01/05/2007,Superseded,29/11/2001,30/04/2007,CSC07,False,CSC98,False,1.0,29/11/2001,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CSC98,Correctional Services (Superseded by CSC01),,Training package,Superseded,29/11/2001,Superseded,09/04/1998,28/11/2001,CSC01,False,,,1.0,09/04/1998,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUA11,Live Performance Training Package,,Training package,Superseded,15/01/2016,Superseded,06/10/2011,,CUA,False,,,1.0,06/10/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUE03,Entertainment Training Package,,Training package,Superseded,15/01/2016,Superseded,30/11/2003,,CUA,False,CUE98,False,3.2,19/03/2012,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUE98,Entertainment Industry (Superseded by CUE03),,Training package,Superseded,30/11/2003,Superseded,10/09/1998,29/11/2003,CUE03,False,,,1.0,10/09/1998,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUF01,"Film, TV, Radio and Multimedia Training Package (Superseded by CUF07)",,Training package,Superseded,01/01/2008,Superseded,01/05/2001,31/12/2007,CUF07,False,,,1.0,20/12/2005,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUL04,Museum and Library - Information Services Training Package,,Training package,Superseded,20/12/2011,Superseded,05/04/2004,19/12/2011,CUL11,False,CUL99,False,2.1,05/04/2004,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CUL99,Museum and Library/Information Services (Superseded by CUL04),,Training package,Superseded,05/04/2004,Superseded,08/06/1999,04/04/2004,CUL04,False,,,1.0,08/06/1999,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CUS01,Music Training Package,,Training package,Superseded,21/07/2011,Superseded,10/10/2005,20/07/2011,CUS09,False,,,1.0,10/10/2005,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV,Arts and Culture Training Package,,Training package,Superseded,15/01/2016,Superseded,,,CUA,False,,,1.0,01/11/2013,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV03,"Visual Arts, Craft and Design Training Package",,Training package,Superseded,12/10/2011,Superseded,01/08/2003,11/10/2011,CUV11,False,,,3.0,18/04/2008,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV11,"Visual Arts, Crafts and Design Training Package",,Training package,Superseded,15/01/2016,Superseded,12/10/2011,,CUA,False,CUV03,False,1.0,12/10/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
DEF12,Defence Training Package,,Training package,Superseded,17/08/2017,Superseded,24/01/2013,,DEF,False,,,2.0,24/01/2013,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
DRT03,Drilling Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,09/12/2003,06/07/2009,RII09,False,DRT98,False,2,25/05/2007,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
DRT98,Drilling Industry (Superseded by DRT03),,Training package,Superseded,09/12/2003,Superseded,03/02/1999,08/12/2003,DRT03,False,,,1.0,12/11/1998,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
FDF03,Food Processing Industry Training Package (Superseded by FDF10),,Training package,Superseded,31/01/2011,Superseded,01/06/2003,30/01/2011,FDF10,False,FDF98,False,1.0,03/07/2003,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
FDF10,Food Processing,,Training package,Superseded,18/12/2018,Superseded,31/01/2011,,FBP,False,FDF03;SUG02,False;False,4.1,04/01/2013,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
FDF98,Food Processing Industry (Superseded by FDF03),,Training package,Superseded,01/06/2003,Superseded,15/07/1998,31/05/2003,FDF03,False,,,1.0,15/07/1998,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
FNA98,Finance (Superseded by Financial Services TP - FNB99),,Training package,Superseded,30/06/1999,Superseded,09/02/1998,29/06/1999,FNB99,False,,,1.0,09/02/1998,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
FNB99,Financial Services (Superseded by FNS04),,Training package,Superseded,22/11/2004,Superseded,30/06/1999,21/11/2004,FNS04,False,FNA98,False,1.0,30/06/1999,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
FNS04,Financial Services Training Package (Superseded by FNS10),,Training package,Superseded,27/07/2011,Superseded,22/11/2004,26/07/2011,FNS10,False,FNB99,False,1.0,10/07/2004,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
FNS10,Financial Services Training Package,,Training package,Superseded,25/03/2015,Superseded,18/12/2012,,FNS,False,FNS04,False,5.1,11/12/2013,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
FPI99,Forest and Forest Products Industry (Superseded by FPI05),,Training package,Superseded,12/12/2005,Superseded,01/04/1999,11/12/2005,FPI05,False,,,1.0,30/04/1999,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
FPP01,Pulp and Paper Manufacturing Industry Training Package (Superseded by FPP10),,Training package,Superseded,20/06/2011,Superseded,01/12/2001,19/06/2011,FPP10,False,FPP98,False,1.0,01/12/2001,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
FPP98,Pulp and Paper Manufacturing Industries (Superseded by FPP01),,Training package,Superseded,01/12/2001,Superseded,27/01/1998,30/11/2001,FPP01,False,,,1.0,27/01/1998,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
HLT02,Health Training Package (Superseded by HLT07),,Training package,Superseded,01/02/2007,Superseded,11/12/2001,31/01/2007,HLT07,False,,,1.0,11/12/2001,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
HLT07,Health Training Package,,Training package,Superseded,08/12/2015,Superseded,01/02/2007,,HLT,False,HLT02,False,5.1,14/09/2013,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
ICA11,Information and Communications Technology Training Package,,Training package,Superseded,14/01/2016,Superseded,18/07/2011,,ICT,False,ICA05,True,2.0,07/11/2013,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
ICA98,Information Technology - Client Support (Superseded by ICA99),,Training package,Superseded,01/05/1999,Superseded,30/04/1998,30/04/1999,ICA99,False,,,1.0,30/04/1998,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
ICA99,Information Technology (Superseded by ICA05),,Training package,Superseded,01/11/2005,Superseded,01/05/1999,31/10/2005,ICA05,False,ICA98,False,1.0,22/04/1999,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
ICP05,Printing and Graphic Arts Training Package,,Training package,Superseded,21/07/2011,Superseded,30/09/2005,20/07/2011,ICP10,False,ICP99,False,1.0,22/07/2005,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
ICP10,Printing and Graphic Arts,,Training package,Superseded,26/03/2015,Superseded,08/07/2012,,ICP,False,ICP05,False,2.1,13/04/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
ICP99,Printing and Graphic Arts (Superseded by ICP05),,Training package,Superseded,30/09/2005,Superseded,18/01/1999,29/09/2005,ICP05,False,,,1.0,18/01/1999,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
ICT02,Telecommunications Training Package,,Training package,Superseded,21/07/2011,Superseded,27/12/2002,20/07/2011,ICT10,False,ICT97,False,1.0,08/01/2009,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
ICT10,Integrated Telecommunications Training Package,,Training package,Superseded,06/03/2015,Superseded,15/06/2010,,ICT,False,ICT02,False,3.0,07/02/2014,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
ICT97,Telecommunications (Superseded by ICT02),,Training package,Superseded,27/12/2002,Superseded,23/09/1997,26/12/2002,ICT02,False,,,1.0,23/09/1997,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
LGA00,Local Government (Superseded by LGA04),,Training package,Superseded,17/08/2004,Superseded,06/03/2000,16/08/2004,LGA04,False,,,1.0,06/03/2000,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
LGA04,Local Government Training Package,,Training package,Superseded,10/02/2021,Superseded,17/08/2004,,LGA,False,LGA00,False,3.0,11/09/2012,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
LMF02,Furnishing Training Package,,Training package,Superseded,10/12/2013,Superseded,10/02/2003,,MSF,False,,,8.1,31/01/2013,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
LMT00,"Textiles, Clothing And Footwear Training Package (Superseded by LMT07)",,Training package,Superseded,31/03/2008,Superseded,10/02/2000,30/03/2008,LMT07,False,,,1.0,10/02/2000,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
LMT07,"Textiles, Clothing and Footwear Training Package",,Training package,Superseded,22/12/2022,Superseded,31/03/2008,,MST,False,LMT00,False,4.1,27/06/2012,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
MAR13,Maritime Training Package,,Training package,Superseded,24/02/2016,Superseded,,,MAR,False,TDM07,False,1.0,06/06/2013,,,False,Industry Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
MCM04,Competitive Manufacturing Training Package (Superseded by MSA07),,Training package,Superseded,21/07/2011,Superseded,03/04/2006,20/07/2011,MSA07,False,,,1.0,03/04/2006,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MEA07,Aeroskills Training Package,,Training package,Superseded,23/01/2012,Superseded,31/03/2008,22/01/2012,MEA11,False,MEA97,False,3.0,15/11/2010,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MEA11,Aeroskills Training Package,,Training package,Superseded,12/02/2015,Superseded,23/01/2012,,MEA,False,MEA07,False,2.0,23/08/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MEA97,Aeroskills Training Package (Superseded by MEA07),,Training package,Superseded,31/03/2008,Superseded,01/11/1997,30/03/2008,MEA07,False,,,1.0,30/07/2004,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MEM98,Metal And Engineering Industry Training Package (Superseded by MEM05),,Training package,Superseded,01/12/2005,Superseded,21/11/1998,30/11/2005,MEM05,False,,,1.0,21/10/1998,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNC04,Coal Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,01/02/2004,06/07/2009,RII09,False,MNC98,False,2,16/01/2008,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNC98,Black Coal (Superseded by MNC04),,Training package,Superseded,01/02/2004,Superseded,11/09/1998,31/01/2004,MNC04,False,,,1.0,11/12/1998,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNM05,Metalliferous Mining Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,21/01/2005,06/07/2009,RII09,False,MNM99,False,1.1,06/04/2007,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNM99,Metalliferous Mining (Superseded by MNM05),,Training package,Superseded,21/01/2005,Superseded,12/11/1999,20/01/2005,MNM05,False,,,1.0,12/11/1999,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNQ03,Extractive Industries Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,17/10/2003,06/07/2009,RII09,False,MNQ98,False,1.1,18/01/2008,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MNQ98,Extractive Industry (Superseded by MNQ03),,Training package,Superseded,17/10/2003,Superseded,24/07/1998,16/10/2003,MNQ03,False,,,1.0,24/07/1998,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MSA05,Conditionally Endorsed Manufacturing Qualifications Training Package (Superseded by MSA07),,Training package,Superseded,01/04/2007,Superseded,01/01/2005,31/03/2007,MSA07,False,,,1.0,01/01/2005,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MSL09,Laboratory Operations Training Package,,Training package,Superseded,01/03/2016,Superseded,01/01/2010,,MSL,False,PML04,False,2.3,11/03/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MTM00,Australian Meat Industry Training Package (Superseded by MTM07),,Training package,Superseded,01/02/2008,Superseded,29/11/2000,31/01/2008,MTM07,False,MTM98,False,1.0,29/11/2000,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
MTM07,Australian Meat Industry Training Package,,Training package,Superseded,21/07/2011,Superseded,01/02/2008,20/07/2011,MTM11,False,MTM00,False,1.0,01/02/2008,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
MTM11,Australian Meat Industry Training Package,,Training package,Superseded,04/08/2016,Superseded,21/12/2012,,AMP,False,MTM07,False,4.0,20/04/2013,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
MTM98,Australian Meat Industry (Superseded by MTM00),,Training package,Superseded,29/11/2000,Superseded,12/01/1998,28/11/2000,MTM00,False,,,1.0,12/01/1998,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
NWP01,Water Industry Training Package (Superseded by NWP07),,Training package,Superseded,12/03/2008,Superseded,20/05/2002,11/03/2008,NWP07,False,UTW98,False,1.0,21/09/2001,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
NWP07,Water Training Package,,Training package,Superseded,07/12/2015,Superseded,12/03/2008,,NWP,False,NWP01,False,3.0,30/04/2012,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PMA02,"Chemical, Hydrocarbons And Oil Refining Training Package (Superseded by PMA08)",,Training package,Superseded,27/08/2008,Superseded,09/12/2002,26/08/2008,PMA08,False,PMA98,False,1.0,25/11/2002,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMA98,"Chemical, Hydrocarbons and Oil Refining (Superseded by PMA02)",,Training package,Superseded,09/12/2002,Superseded,31/08/1998,08/12/2002,PMA02,False,,,1.0,31/08/1998,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMB01,"Plastics, Rubber And Cablemaking Training Package (Superseded by PMB07)",,Training package,Superseded,16/11/2007,Superseded,21/03/2002,15/11/2007,PMB07,False,PMB98,False,1.0,30/11/2001,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMB98,"Plastics, Rubber and Cablemaking (Superseded by PMB01)",,Training package,Superseded,21/03/2002,Superseded,22/10/1998,20/03/2002,PMB01,False,,,1.0,22/10/1998,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMC04,Manufactured Mineral Products Training Package (Superseded by PMC10),,Training package,Superseded,16/04/2010,Superseded,23/10/2004,15/04/2010,PMC10,False,PMC99,False,1.0,01/01/2004,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMC99,Manufactured Mineral Products (Superseded by PMC04),,Training package,Superseded,23/10/2004,Superseded,22/06/1999,22/10/2004,PMC04,False,,,1.0,22/06/1999,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PML04,Laboratory Operations Training Package (Superseded by MSL09),,Training package,Superseded,01/01/2010,Superseded,20/10/2004,31/12/2009,MSL09,False,PML99,False,1.0,20/10/2004,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PML99,Laboratory Operations (Superseded by PML04),,Training package,Superseded,20/10/2004,Superseded,15/12/1999,19/10/2004,PML04,False,,,1.0,15/12/1999,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PRD01,Property Development and Management Training Package (Superseded by CPP07),,Training package,Superseded,28/08/2007,Superseded,01/06/2001,27/08/2007,CPP07,False,,,1.0,20/06/2005,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PRM04,ASSET MAINTENANCE TRAINING PACKAGE,,Training package,Superseded,07/04/2011,Superseded,19/03/2004,06/04/2011,CPP07,False,PRM98,False,3.0,30/03/2009,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PRM98,Asset Maintenance (Superseded by PRM04),,Training package,Superseded,19/03/2004,Superseded,30/11/1998,18/03/2004,PRM04,False,,,1.0,17/11/1998,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PRS03,Asset Security Training Package (Superseded by CPP07),,Training package,Superseded,28/08/2007,Superseded,17/05/2003,27/08/2007,CPP07,False,PRS98,False,1.0,19/03/2003,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PRS98,Asset Security (Superseded by PRS03),,Training package,Superseded,17/05/2003,Superseded,24/11/1998,16/05/2003,PRS03,False,,,1.0,24/11/1998,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PSP04,Public Sector Training Package,,Training package,Superseded,01/11/2012,Superseded,27/11/2004,31/10/2012,PSP12,False,PSP99,False,4.2,07/03/2012,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PSP12,Public Sector Training Package,,Training package,Superseded,07/03/2016,Superseded,01/11/2012,,PSP,False,PSP04,False,1.0,01/11/2012,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
