Client ID,,Legal Name,Client Name,Branch,Last Contact,Client Type,Industry Sectors,Phone,Account Manager,Handler,
2005,,Dean Edward Freight,A and D Roof Carpentry GT,WA GT,9/22/2023,Current,2005,400214640,Amie Atkinson,Goran Mirosevic,#ERROR!
1853,,ACWEST ELECTRICAL PTY LTD,ACWEST ELECTRICAL PTY LTD - GT,WA GT,6/22/2023,Current,1853,430507095,Amie Atkinson,Mark Howe,
726,,Allied Pumps Pty Ltd,Allied Pumps (GT),WA GT,9/30/2024,Current,726,893501000,Amie Atkinson,Mark Howe,
10731,,Allstyle Concrete Pty Ltd,Allstyle Concrete Pty Ltd,WA GT,9/22/2023,Current,10731,9303 9466,Monika Southern,Goran Mirosevic,
10237,,ATCO STRUCTURES & LOGISTICS PTY LTD,ATCO STRUCTURES & LOGISTICS PTY LTD (GT),WA GT,9/1/2023,Current,10237,892361500,Braden Lang,Murray Wilson,
2326,,The Trustee for Evans Family Trust,A-Team Family Carpentry Contractors,WA GT,5/26/2024,Current,2326,0424 195 646,Goran Mirosevic,Goran Mirosevic,
9384,,Gomast Pty Ltd,Auswest Painting - GT,WA GT,7/31/2024,Current,9384,0412 948 054,Murray Wilson,Murray Wilson,
10205,,Axis Services Group WA Pty Ltd,Axis Services Group (GTO),WA GT,9/1/2023,Current,10205,08 9417 5133,Monika Southern,Murray Wilson,
1528,,B A Hordyk Enterprises Pty Ltd,BA & KM Carpentry,WA GT,10/25/2023,Current,1528,406060904,Goran Mirosevic,Goran Mirosevic,
715,,Colin Timothy Watts,Big Cols Bricklaying,WA GT,9/18/2024,Current,715,894054495,Murray Wilson,Murray Wilson,
471,,J & M B Binch,Binch Construction,WA GT,8/25/2022,Current,471,414642091,Murray Wilson,Murray Wilson,
1892,,COMMARC PTY LTD ATF THE MAGUIRE FAMILY TRUST,Bisschops Contracting,WA GT,9/22/2023,Current,1892,892503800,Goran Mirosevic,Goran Mirosevic,
4152,,Jay Farrington,Black Ant Carpentry and Construction,WA GT,4/30/2024,Current,4152,419172351,,Goran Mirosevic,
8055,,Blake Matthew Adams,Blake Adams,WA GT,9/22/2023,Current,8055,,Goran Mirosevic,Goran Mirosevic,
10010,,Brandon Sword,Brandon Sword,WA GT,9/22/2023,Current,,0459 035 834,Monika Southern,Goran Mirosevic,
1505,,The Roche Family Trust,Bridie Industries,WA GT,9/22/2023,Current,1505,419472688,Goran Mirosevic,Goran Mirosevic,
1800,,BTECH Electrical Services Pty Ltd,BTECH Electrical Services Pty Ltd - GT,WA GT,6/23/2023,Current,1800,0478 632 090,,Mark Howe,
6786,,Skill Hire WA Pty ltd,Bunbury Skill Hire Jobactive,WA GT,4/28/2020,Current,,08 9376 2800,Jodie Cleverly,Jodie Cleverly,
6861,,,Casotti Plumbers,WA GT,9/13/2023,Current,6861,08 9302 4223,Amie Atkinson,Murray Wilson,
10854,,,Category 5,WA GT,,Current,,,Greg Rogers,,
3527,,The Jones Family Trust,Champion Bay Electrical,WA GT,4/20/2023,Current,3527,08 9921 7557,Amie Atkinson,Amie Atkinson,
2050,,City of Albany,City of Albany (GT),WA GT,8/23/2021,Current,2050,898419333,Andrew Penson,Andrew Penson,
477,,Civmec Construction and Engineering Pty Ltd,Civmec Construction and Engineering Pty Ltd,WA GT,10/4/2023,Current,477,894376288,Terry Doyle,Terry Doyle,
5888,,Cameron Michael Fong,CMF Carpentry & Construction,WA GT,9/22/2023,Current,5888,0439 251 181,Caris Aziz,Goran Mirosevic,
3129,,AR Building,Coastal Ceilings-GT,WA GT,9/22/2023,Current,3129,,Goran Mirosevic,Goran Mirosevic,
11057,,Venus Hospitality,COMO - The Treasury (Wildflower),WA GT,7/27/2024,Current,,,Braden Lang,Murray Wilson,
3327,,Creative Carpentry WA,Creative Carpentry WA,WA GT,5/30/2024,Current,3327,,Goran Mirosevic,Goran Mirosevic,
2233,,C.B Crisp & P.J Crisp,Crisp Bricklaying,WA GT,9/22/2024,Current,2233,430412814,Amie Atkinson,Murray Wilson,
7974,,Cubic Interiors Pty Ltd,Cubic Interiors,WA GT,8/31/2024,Current,7974,08 6212 5000,Caris Aziz,Goran Mirosevic,
10129,,Kingdom Holdings Pty Ltd,Custom Screens,WA GT,6/9/2023,Current,10129,08 9279 7444,Caris Aziz,Murray Wilson,
10371,,Daniel Anthony Ward,Daniel Ward Bricklaying,WA GT,11/12/2023,Current,10371,0416 330 205,Caris Aziz,Natasha Nardone,
721,,Decks Roofs Pergolas Pty Ltd,Decks Roofs Pergolas Pty Ltd,WA GT,9/28/2023,Current,721,422711252,,Goran Mirosevic,
10108,,Decmil Southern Pty Ltd,Decmil Southern Pty Ltd,WA GT,4/20/2023,Current,10108,893688877,Braden Lang,Natasha Nardone,
10306,,OJOLAS Holdings Pty Ltd,Diverse Project Group,WA GT,10/30/2023,Current,10306,08 9258 8555,Monika Southern,Goran Mirosevic,
10382,,David John Dibiase,Drav's Carpentry Services,WA GT,5/5/2024,Current,10382,0403 796 704,Caris Aziz,Goran Mirosevic,
8975,,The S.H.A.R.E Trust,ECO-GT,WA GT,6/28/2023,Current,8975,0401 313 167,,Mark Howe,
10220,,AMD Electrical Pty Ltd,EIG Australia,WA GT,6/30/2024,Current,10220,08 6254 2635,,Mark Howe,
10963,,The Trustee for Malthy Trust,Elcon Services,WA GT,2/28/2024,Current,10963,421444576,Monika Southern,Mark Howe,
9541,,Encubed Pty Ltd,Encubed Pty Ltd,WA GT,9/22/2023,Current,9541,439946128,Goran Mirosevic,Goran Mirosevic,
2230,,Exclusive Commercial (WA) Pty Ltd,Exclusive Commercial Linings,WA GT,1/10/2024,Current,2230,409078696,,Goran Mirosevic,
8862,,Exclusive Contracting WA Pty Ltd,Exclusive Linings,WA GT,6/12/2023,Current,8862,0409 078 696,,,
3394,,Exzo Pty Ltd,Exzo Pty Ltd - GT,WA GT,1/31/2024,Current,3394,,Goran Mirosevic,Goran Mirosevic,
2067,,"HEWLETT, DANIEL WILLIAM",Fremantle Carpentry (GT),WA GT,12/8/2023,Current,2067,458418831,,Goran Mirosevic,
3328,,Frontier Ceilings Pty Ltd,Frontier Ceilings,WA GT,9/22/2023,Current,3328,,Goran Mirosevic,Goran Mirosevic,
9685,,Futureproof Building Services Pty Ltd,Futureproof Building Services Pty Ltd,WA GT,9/22/2023,Current,9685,402055777,Jodie Cleverly,Murray Wilson,
10182,,Gary William Miller,Gary Miller Maintenance,WA GT,9/22/2023,Current,,0434 401 667,Monika Southern,Murray Wilson,
9882,,WA Police Force,Geraldton Police Station,WA GT,5/13/2022,Current,9882,08 9923 4638,Amie Atkinson,Amie Atkinson,
2159,,Geraldton Toyota,Geraldton Toyota,WA GT,8/31/2023,Current,2159,899640000,Amie Atkinson,Margaret Tyler,
2800,,GJM Homes Pty Ltd,GJM Homes Pty Ltd -GT,WA GT,9/28/2023,Current,2800,,Goran Mirosevic,Amie Atkinson,
6865,,Glendoor Ceilings Pty ltd,Glendoor Ceilings,WA GT,7/10/2024,Current,6865,0413 410 725,Caris Aziz,Goran Mirosevic,
703,,The trustee for GMF Trust,GMF Carpentry,WA GT,6/28/2023,Current,703,,Goran Mirosevic,Goran Mirosevic,
10418,,D&C Plumbing Co. Pty Ltd,Golden State Plumbing and Gas,WA GT,6/30/2024,Current,,,Caris Aziz,Murray Wilson,
10176,,,GT Test Employer,WA GT,,Current,,,Braden Lang,,
10190,,GTS Engines PTY LTD,GTS Engines Reconditioning,WA GT,4/20/2023,Current,10190,08 9721 4555,,Natasha Nardone,
2367,,Gunn Electrics WA Pty Ltd,Gunn Electrics WA Pty Ltd,WA GT,9/22/2023,Current,2367,448866022,Caris Aziz,Mark Howe,
10416,,Harry James Traynor,Harry Traynor Carpentry,WA GT,9/13/2023,Current,,0451 332 875,Caris Aziz,Goran Mirosevic,
10852,,Haz Tech Solutions Pty Ltd,Haz Tech Solutions Pty Ltd,WA GT,6/28/2023,Current,10852,6268 0486,Caris Aziz,Mark Howe,
2173,,HERRING 'S COASTAL PLUMBING AND GAS FITTING SERVICES,Herrings Coastal Plumbing & Gas fitting Services (GT),WA GT,8/1/2024,Current,2173,899644171,Amie Atkinson,Margaret Tyler,
600,,Silverbound Pty Ltd,Hot Water Factory,WA GT,11/30/2022,Current,600,,Monika Southern,Murray Wilson,
3192,,Hotina Sokol Carpenters Pty Ltd,Hotina Sokol Carpenters Pty Ltd,WA GT,9/22/2023,Current,3192,,,Goran Mirosevic,
9960,,IGA Distribution (WA) Pty Ltd,IGA Distribution Canning Vale GT,WA GT,1/6/2022,Current,9960,08 9311 6358,,Murray Wilson,
9747,,K5B Developments Pty Ltd,Ironstone Homes,WA GT,2/2/2022,Current,9747,404009578,Jodie Cleverly,Goran Mirosevic,
10180,,Ironstone Modular Pty Ltd,Ironstone Modular,WA GT,6/22/2024,Current,,0404 009 578,Monika Southern,Goran Mirosevic,
11073,,Mark Ian Bowers,Ivanhoe Enterprises,WA GT,8/31/2024,Current,11073,0417 921 560,Caris Aziz,Goran Mirosevic,
9731,,Blackwoods,J. Blackwood & Son Pty Ltd,WA GT,5/20/2022,Current,9731,283629816,,Murray Wilson,
5101,,Tri Tech group pty ltd,Janissen Electrics (GT),WA GT,6/28/2023,Current,5101,08 9351 8331,,,
1515,,JB3 Construction Pty Ltd,JB3 Construction Pty Ltd,WA GT,4/30/2024,Current,1515,417971882,Goran Mirosevic,Goran Mirosevic,
9470,,Jackson Corey Della Franca,JDF BRICKLAYING,WA GT,6/29/2024,Current,,488199844,,Murray Wilson,
499,,"INGRAM, JACK",JMI Carpentry and Construction,WA GT,4/17/2024,Current,,0431 428 933,Goran Mirosevic,Goran Mirosevic,
10086,,"Koncurat, Jamie Ned",JNK Electrical,WA GT,6/28/2023,Current,10086,0411 102 317,Monika Southern,Mark Howe,
10091,,The Trustee For The Fiegert Family Trust,Joel Fiegert,WA GT,7/23/2024,Current,10091,0433 343 394,Monika Southern,,
10102,,,John McGhee Bricklaying,WA GT,5/12/2024,Current,10102,0459 637 924,Margaret Tyler,Margaret Tyler,
609,,JOHNS ROOFING & PERGOLAS,Johns Roofing & Pergolas,WA GT,9/22/2023,Current,609,894094740,Goran Mirosevic,Goran Mirosevic,
2204,,OUR Group of Companies Pty Ltd,KADA SYSTEMS,WA GT,6/28/2023,Current,2204,1300687669,,Mark Howe,
4675,,KVN Bricklaying,KVN Bricklaying,WA GT,5/28/2023,Current,4675,,Goran Mirosevic,Murray Wilson,
10256,,Leschenault Community Nursery Inc,Leschenault Community Nursery Inc,WA GT,9/27/2023,Current,10256,,Caris Aziz,Natasha Nardone,
750,,WEST COAST RESOURCES (WA) PTY LTD,LKR Electrical,WA GT,6/28/2023,Current,750,407722185,,Mark Howe,
10166,,Louis Charles McAteer,Louis McAteer,WA GT,10/3/2023,Current,,0434 258 355,Caris Aziz,Goran Mirosevic,
7955,,Lovegrove Electrical,Lovegrove Electrical (GT GER),WA GT,6/1/2023,Current,7955,892443300,Amie Atkinson,Amie Atkinson,
2021,,John Lovegrove & Co. Pty. Ltd,Lovegrove Electrical (GT PER),WA GT,5/12/2024,Current,2021,892443300,,Mark Howe,
10353,,Lakeview Asset Pty Ltd,M & A Formwork,WA GT,12/30/2023,Current,,0414 234 161,Caris Aziz,Goran Mirosevic,
1543,,M & D ADAMS ROOF CARPENTRY,M and D Adams Roof Carpentry,WA GT,9/22/2023,Current,1543,412378466,Goran Mirosevic,Goran Mirosevic,
8951,,Mackenzie Carpentry,Mackenzie Carpentry,WA GT,12/4/2023,Current,8951,,,Goran Mirosevic,
10350,,Master Builders Western Australia,Master Builders Association WA,WA GT,1/18/2023,Current,,9476 9800,Caris Aziz,Murray Wilson,
1597,,MAYVIS ELECTRICAL,Mayvis Electrical (GT),WA GT,9/21/2023,Current,1597,9302 6455,,Mark Howe,
9690,,The trustee for Brittain Family Trust,Metro Formwork Logistics Pty Ltd,WA GT,9/22/2023,Current,,,Goran Mirosevic,Goran Mirosevic,
2177,,Mid West Ports,Mid West Ports Authority (GT),WA GT,11/30/2022,Current,2177,899640520,Amie Atkinson,Amie Atkinson,
11108,,MRAEL Limited,MRAEL,WA GT,,Current,,07 4191 2510,Jodie Cleverly,Nicole Burns,
10995,,MTP Building Services Pty Ltd (GTO),MTP Building Services Pty Ltd,WA GT,8/28/2023,Current,,0431 458 185,Amie Atkinson,Murray Wilson,
10239,,National Estate Builders WA Pty Ltd,National Estate Builders,WA GT,11/30/2022,Current,10239,9381 7094,Caris Aziz,Murray Wilson,
767,,NICHE CABLING,Niche Cabling (GT),WA GT,7/21/2024,Current,767,408921851,Mark Howe,Mark Howe,
2063,,NILSEN (WA) PTY. LTD.,Nilsen (WA) Pty Ltd,WA GT,6/28/2023,Current,2063,894342311,,Mark Howe,
10998,,NLB Homes Pty Ltd,NLB Homes,WA GT,7/5/2023,Current,,488442095,Monika Southern,Goran Mirosevic,
10809,,Oceanview Technologies Pty Ltd,Oceanview Technologies (GT),WA GT,6/28/2023,Current,10809,0448 894 976,Caris Aziz,Mark Howe,
1564,,ONE-MULTI PTY LTD,One Multi PTY LTD - GT,WA GT,9/22/2023,Current,1564,428225868,,Mark Howe,
10739,,Petit Homes Pty Ltd,Petit Home Improvement,WA GT,4/21/2023,Current,,0481 782 391,Caris Aziz,Goran Mirosevic,
4162,,PK Sorensen Pty Ltd,PLS Carpentry - GT,WA GT,9/27/2022,Current,4162,,Amie Atkinson,Amie Atkinson,
6702,,Milluna Resources Pty Ltd atf The Trustee for B & S POPE FAMILY TRUST,Pope Electrical,WA GT,6/30/2024,Current,6702,(08) 9379 2781,,Mark Howe,
751,,The Trustee for WOODS FAMILY TRUST,POWERLEC ELECTRICAL AND DATA ( GT ),WA GT,6/28/2023,Current,751,894179191,,Mark Howe,
754,,PRO CIRCUIT ELECTRICAL,Pro Circuit Electrical (GT),WA GT,6/28/2023,Current,754,438863561,Mark Howe,Mark Howe,
10248,,Programmed Facility Management Pty Ltd,Programmed Building Projects,WA GT,3/31/2023,Current,,,Caris Aziz,Margaret Tyler,
10805,,Projects115 Pty Ltd,Projects 115,WA GT,5/18/2023,Current,10805,0409 554 593,Amie Atkinson,Goran Mirosevic,
9353,,Protek Carpentry and Fencing Services Pty Ltd,Protek 247,WA GT,6/30/2024,Current,9353,08 9399 8660,Monika Southern,,
731,,The Trustee for The Girst Trust,Pumping Perfect Bricks,WA GT,9/22/2023,Current,731,0417 979 099,Monika Southern,Murray Wilson,
10944,,The Trustee for The R & T Unit Trust,R & T Electrical Pty LTD,WA GT,6/28/2023,Current,,86184682,Jodie Cleverly,Mark Howe,
755,,REST-A-SURED SECURITY PTY LTD,Rest-A-Sured Security Pty Ltd,WA GT,4/30/2024,Current,755,893099500,,Mark Howe,
6336,,The Trustee for Ridley Family Trust,Ridleys Plumbing & Gas,WA GT,9/8/2023,Current,6336,0433 664 489,Caris Aziz,Murray Wilson,
10951,,RMG CONSTRUCTION WA PTY LTD,RMG Construction,WA GT,6/30/2024,Current,,438094280,Jodie Cleverly,Murray Wilson,
11000,,Saul Tornatora,Saul Tornatora,WA GT,9/28/2023,Current,,430938869,Goran Mirosevic,Goran Mirosevic,
11065,,Scott James Amato,Scott Amato,WA GT,8/16/2024,Current,,0474 705 195,Jodie Cleverly,Murray Wilson,
1635,,Selected Plumbing Pty Ltd,Selected Plumbing,WA GT,6/30/2024,Current,1635,892539200,Amie Atkinson,Murray Wilson,
2108,,Skill Hire GT Internal Albany,Skill Hire GT Internal Albany,WA GT,10/25/2022,Current,2108,,Andrew Penson,Andrew Penson,
1899,,Skill Hire GT Internal Bunbury,Skill Hire GT Internal Bunbury,WA GT,3/24/2023,Current,,,Charlotte Sutton,Jodie Cleverly,
2100,,Skill Hire Perth GT W/Comp,Skill Hire Perth GT W/Comp,WA GT,8/9/2021,Current,,,Carly Bradley,Jodie Cleverly,
2158,,Skill Hire-GT Internal Geraldton,Skill Hire-GT Internal Geraldton,WA GT,1/25/2023,Current,,,Amie Atkinson,Amie Atkinson,
1598,,Skill Hire-GT Internal,Skill Hire-GT Internal Perth,WA GT,6/7/2024,Current,1598,,Carly Bradley,Jodie Cleverly,
2450,,The Trustee for The Billins Family Trust,SMB Electrical Services,WA GT,6/28/2023,Current,2450,08 9302 5729,,Mark Howe,
10241,,Soden Carpentry Pty Ltd,Soden Carpentry Pty Ltd,WA GT,6/30/2024,Current,,432345482,Caris Aziz,Goran Mirosevic,
10174,,South West Gateway Alliance,South West Gateway Alliance - GT,WA GT,9/22/2023,Current,10174,0417 471 176,Natasha Nardone,Natasha Nardone,
10043,,SRD Construction PTY LTD,SRD Construction,WA GT,9/22/2023,Current,10043,0439 096 468,Amie Atkinson,Goran Mirosevic,
10757,,SRF Earthmoving Pty Ltd,SRF Earthmoving,WA GT,5/12/2023,Current,10757,0400 732 612,Monika Southern,Goran Mirosevic,
10455,,STAR CONSTRUCT WA PTY LTD,Star Construct WA,WA GT,8/15/2024,Current,,413153403,Monika Southern,Goran Mirosevic,
9954,,Steel Framed Carpentry Pty Ltd,Steel Framed Carpentry,WA GT,4/21/2023,Current,,0409 880 609,Monika Southern,Goran Mirosevic,
10651,,Matthew Johnson,Stefanelli Constructions,WA GT,12/1/2022,Current,10651,400471323,Monika Southern,,
9387,,Stowe Australia PTY LTD,Stowe Australia PTY LTD,WA GT,9/28/2023,Current,9387,,,Mark Howe,
10842,,Sun City Produce Pty Ltd,Sun City Produce Pty Ltd,WA GT,5/1/2024,Current,10842,0418 939 982,Margaret Tyler,Margaret Tyler,
6951,,W Johnson Pty Ltd TA Technical Maintenance Support,Technical Maintenance Support (TMS),WA GT,2/10/2022,Current,6951,08 9965 3168,Amie Atkinson,,
1820,,Donnybrook Holdings Pty Ltd,TES Electrical (Perth GT),WA GT,1/31/2024,Current,1820,894341514,,Mark Howe,
1530,,Tezza's Construction Pty Ltd,Tezza's Construction Pty Ltd,WA GT,5/11/2023,Current,1530,408827810,Caris Aziz,Goran Mirosevic,
9941,,Togail na hEireann pty ltd,Togail na hEireann,WA GT,4/21/2023,Current,9941,08 6248 9694,,Goran Mirosevic,
1979,,Trevor McHoull and Sharyn McHoull and Wade McHoull,Trevor McHoull and Sharyn McHoull and Wade McHoull,WA GT,8/15/2023,Current,1979,466821960,Goran Mirosevic,Goran Mirosevic,
745,,SDC (WA) PTY LTD ATFT,True Blue Building Services,WA GT,1/25/2024,Current,745,423343548,Goran Mirosevic,Goran Mirosevic,
10752,,VCS Cabling Pty Ltd,VCS Cabling Pty Ltd,WA GT,10/4/2023,Current,,9242 3222,Caris Aziz,Mark Howe,
4613,,Venture Smart Pty Limited,Ventia - GT,WA GT,8/14/2023,Current,4613,,Caris Aziz,Mark Howe,
7676,,Vision Fire Detection,Vision Fire Detection-GT,WA GT,4/13/2023,Current,7676,08 9242 3222,,Mark Howe,
7069,,The Trustee for The Hawk Trust,WDM Contracting,WA GT,8/30/2023,Current,7069,0417 277 967,,Goran Mirosevic,
2253,,West View Construction,West View Construction,WA GT,10/25/2021,Current,2253,414849866,Goran Mirosevic,Goran Mirosevic,
2376,,Wilco Electrical WA Pty Ltd,Wilco Electrical (Perth GT),WA GT,6/30/2024,Current,2376,861425404,,Mark Howe,
2323,,WELM PTY LTD,WN + LC Henley Family Trust,WA GT,7/18/2024,Current,2323,861530737,,Goran Mirosevic,
10550,,HPL Energy Pty Ltd,XES Roof and Frame,WA GT,10/30/2023,Current,,0407 380 866,Caris Aziz,Goran Mirosevic,
8380,,,Bishop,WA GT,,Archived,8380,,Cassandra Palmer,,
3384,,,1st Dibbs,WA GT,21/04/2021,Archived,3384,,Amie Atkinson,,
6649,,,6 Star Electrical & Solar,WA GT,20/11/2019,Archived,6649,0455 559 675,Amie Atkinson,,
710,,The Trustee for A AND C WEST FAMILY TRUST,A and C West Family Trust,WA GT,23/06/2023,Archived,710,417972112,Goran Mirosevic,Goran Mirosevic,
2165,,K.G Cull & A.J McAskil,A McAskil and K Cull Bricklaying,WA GT,13/02/2020,Archived,2165,,Amie Atkinson,Amie Atkinson,
9959,,The Trustee for Gregory Family Trust,A1 Locksmith,WA GT,17/06/2021,Archived,9959,(08) 9535 5951,Amie Atkinson,Murray Wilson,
706,,Aaron Van Dongen,Aaron Van Dongen,WA GT,23/03/2022,Archived,706,0404 324 524,Wayne Hancock,Wayne Hancock,
2744,,,Abbey Beach Resort,WA GT,15/06/2020,Archived,2744,08 9755 4600,Natasha Nardone,Natasha Nardone,
1583,,,ABCO Products - GT Perth,WA GT,23/03/2022,Archived,,1800177399,Chloe Woodgate,Chloe Woodgate,
512,,,ABQ Carpentry,WA GT,23/03/2022,Archived,512,428183779,Paul Bird,Paul Bird,
5742,,,Abstract Carpentry,WA GT,23/03/2022,Archived,5742,,Chloe Woodgate,,
9987,,Access Petrotec Pty Ltd,Access Petrotec & Mining Solutions,WA GT,23/06/2022,Archived,9987,894562025,Monika Southern,Goran Mirosevic,
511,,Ace Electrical & Communication Pty Ltd,Ace Electrical & Communication (GT),WA GT,05/07/2018,Archived,511,895710022,,,
760,,,Ace Electrical & Communication Pty Ltd,WA GT,,Archived,,895710022,Chloe Woodgate,Chloe Woodgate,
6943,,Adco Constructions Pty Ltd,Adco Constructions Pty Ltd,WA GT,21/03/2023,Archived,6943,08 9211 0900,Amie Atkinson,Goran Mirosevic,
6080,,,Admiral Carpentry Services,WA GT,30/03/2022,Archived,6080,,,,
10233,,,ADT Carpentry,WA GT,30/03/2022,Archived,,,Monika Southern,,
5129,,Advanced Residential Technologies Pty,Advanced Residential Technologies Pty GT,WA GT,09/02/2022,Archived,5129,9242 3222,Mark Howe,Mark Howe,
1587,,ADVANCED STRUCTURED CABLING,Advanced Structured Cabling,WA GT,23/03/2022,Archived,1587,439984032,Mark Howe,Mark Howe,
3950,,Advanced Traffic Management ( GT ),Advanced Traffic Management WA Pty Ltd,WA GT,05/12/2022,Archived,3950,08 9274 6300,Natasha Nardone,Natasha Nardone,
1814,,Laserline Enterprise Pty Ltd,Adwest Group,WA GT,23/03/2022,Archived,1814,893022322,,,
6835,,Hoskins Investments pty ltd,AE Hoskins Building Services - GT,WA GT,12/12/2022,Archived,6835,,,,
2557,,Aerison Pty Ltd,Aerison Pty Ltd,WA GT,23/03/2022,Archived,,893525900,Kevin Presenza,Kevin Presenza,
7021,,The Trustee for PAW UNIT TRUST,Affinity Windows,WA GT,30/03/2022,Archived,7021,(08) 9334 4600,,,
1506,,Air Roofing Co Pty Ltd,Air Roofing Co Pty Ltd,WA GT,09/08/2021,Archived,1506,893616088,,,
3597,,AIREFLECT PTY LTD,Aireflect,WA GT,23/03/2022,Archived,3597,0419 936 999,Amie Atkinson,Kevin Presenza,
3329,,Akkadakka Bricklaying,Akkadakka Bricklaying,WA GT,21/03/2023,Archived,3329,,,Murray Wilson,
7072,,MK Cooney Pty Ltd,Albany Carpentry Services,WA GT,27/08/2021,Archived,7072,407448398,Amie Atkinson,,
4121,,Lykke Nominees Pty Ltd,Albany Carpet Court,WA GT,06/08/2021,Archived,4121,08 9842 1211,,,
2020,,,Albany Fine Furniture,WA GT,31/01/2019,Archived,2020,898428555,Andrew Penson,Andrew Penson,
2431,,,Albany Formwork,WA GT,27/02/2018,Archived,2431,9841 5332,Andrew Penson,Andrew Penson,
4836,,Albany Plasterboard Pty Ltd,Albany Plasterboard (GT),WA GT,22/01/2019,Archived,4836,898428448,Andrew Penson,Andrew Penson,
4149,,Albany Plumbing and Gas,Albany Plumbing and Gas,WA GT,16/10/2018,Archived,4149,0409 200 070,Andrew Penson,Andrew Penson,
